NOUN_PHRASES_AMOUNT;FLESCH_KINCAID_GRADE;VIDEOID;VIDEO_NOUN_PHRASES;VIDEO_AVERAGE_BRIGHTNESS;VIDEO_SIZE;PHRASES_AMOUNT;VIDEO_DIFFICULT_WORDS;VIDEO_AVERAGE_LIGHT_EXPOSURE;SPEECH_DISPLAY_WORDS_RATIO;FLESCH_READING_EASE;VIDEO_WORDS_COUNT;VIDEO_ASPECT_RATIO;VIDEO_DOMINANT_COLOR;VIDEO_AVERAGE_COLORFULNESS;AUTOMATED_READABILITY_INDEX;WORD_AMOUNT;FLESCH_KINCAID_VIDEO_GRADE;UNCOMMON WORDS RATIO;VIDEO_DURATION;UNCOMMON WORDS AMOUNT;WORDS_PER_MINUTE_WHOLE_VIDEO;VIDEO_AVERAGE_HUE;EASY_VIDEO_READ;VIDEO_AVERAGE_SATURATION;VIDEO_PHRASES_COUNT;WORDS_PER_MINUTE;WORDS_PER_MINUTE_WHOLE;AUTOMATED_VIDEO_READABILITY_INDEX;DIFFICULT_WORDS_AMOUNT;score
80.0;9.0;5307;78.0;0.998819362456;1500.0;101.0;57.0;249.76965191;0.0998559769563;67.49;208.0;1.77777777778;1677.7215;17.4357365576;9.9;2083.0;5.8;0.261161785886;13.65;544.0;15.2282405769;10.2181522316;70.29;5.07293667647;22.0;151.984176856;152.794894635;13.7;159.0;easy
93.0;8.7;5272;37.0;1.0;1500.0;65.0;28.0;214.340168982;0.116743471582;68.1;152.0;1.77777777778;1677.7215;21.9565947542;9.5;1302.0;11.8;0.306451612903;7.95;399.0;19.0978766177;23.1750292419;49.45;21.15851098;7.0;164.393955361;163.337102651;14.6;113.0;easy
120.0;10.4;156;130.0;0.983908045977;1500.0;54.0;143.0;238.270017157;0.359595959596;52.9;356.0;1.77777777778;1677.7215;6.23732861024;11.5;990.0;22.3;0.325252525253;7.23333333333;322.0;49.1690069518;4.12296418689;5.9;3.41705215872;9.0;142.482135044;134.938538741;30.6;209.0;intermediate
74.0;4.0;4465;46.0;0.994809688581;1500.0;130.0;32.0;51.3225168405;0.0954773869347;91.31;171.0;1.77777777778;282.9099;37.4178125157;4.2;1791.0;11.6;0.299832495812;9.61666666667;537.0;17.7576240091;52.8424062961;55.17;50.0428701134;7.0;199.226161688;185.364671674;17.9;114.0;difficult
40.0;4.7;5427;89.0;0.996350364964;1500.0;47.0;23.0;178.36475453;0.372881355932;84.07;220.0;1.77777777778;1447.446;28.7063075732;5.4;590.0;21.2;0.250847457627;4.55;148.0;48.2068512161;26.4436007339;41.03;37.9714999268;4.0;188.781042836;129.062888029;27.5;55.0;difficult
122.0;8.7;3247;99.0;1.0;1500.0;63.0;78.0;222.253000826;0.245778611632;62.78;262.0;1.77777777778;1585.5861;23.0874182073;9.3;1066.0;12.3;0.330206378987;7.2;352.0;36.3182700305;110.27162336;42.51;20.1440200885;13.0;156.267243472;147.21375104;18.6;170.0;easy
88.0;6.2;5310;119.0;0.998765432099;1500.0;113.0;66.0;247.881239252;0.237623762376;74.79;360.0;1.77777777778;1677.7215;10.7994250803;5.7;1515.0;6.8;0.36897689769;13.4833333333;559.0;26.6696299589;7.4238785651;67.76;3.06620291543;30.0;112.617777556;112.531021965;10.9;131.0;easy
73.0;6.3;4274;55.0;1.0;1500.0;89.0;54.0;131.019254894;0.140666666667;79.7;211.0;1.77777777778;1677.7215;15.6737578123;6.8;1500.0;12.0;0.256666666667;7.85;385.0;26.8687125939;11.8772748443;38.11;15.2556060109;13.0;189.641502561;187.953648287;13.1;103.0;intermediate
93.0;9.3;1211;36.0;1.0;1500.0;55.0;29.0;246.4114622;0.0844594594595;66.57;100.0;1.77777777778;1677.7215;12.3879309671;10.5;1184.0;13.0;0.277027027027;7.33333333333;328.0;13.6113064586;9.69351945897;46.1;4.24298518816;4.0;163.159286034;161.021755405;17.4;150.0;intermediate
83.0;8.8;1215;20.0;1.0;1500.0;63.0;8.0;247.043233004;0.0374414976599;67.79;48.0;1.77777777778;1677.7215;13.4750745632;8.6;1282.0;10.3;0.308112324493;7.85;395.0;6.10933157973;17.2894971612;64.04;5.27054680144;2.0;165.423268077;163.67917524;13.1;122.0;easy
