NOUN_PHRASES_AMOUNT;FLESCH_KINCAID_GRADE;VIDEOID;VIDEO_NOUN_PHRASES;VIDEO_AVERAGE_BRIGHTNESS;VIDEO_SIZE;PHRASES_AMOUNT;VIDEO_DIFFICULT_WORDS;VIDEO_AVERAGE_LIGHT_EXPOSURE;SPEECH_DISPLAY_WORDS_RATIO;FLESCH_READING_EASE;VIDEO_WORDS_COUNT;VIDEO_ASPECT_RATIO;VIDEO_DOMINANT_COLOR;VIDEO_AVERAGE_COLORFULNESS;AUTOMATED_READABILITY_INDEX;WORD_AMOUNT;FLESCH_KINCAID_VIDEO_GRADE;UNCOMMON WORDS RATIO;WORDS_PER_MINUTE;UNCOMMON WORDS AMOUNT;WORDS_PER_MINUTE_WHOLE_VIDEO;VIDEO_AVERAGE_HUE;EASY_VIDEO_READ;VIDEO_AVERAGE_SATURATION;VIDEO_PHRASES_COUNT;VIDEO_DURATION;WORDS_PER_MINUTE_WHOLE;AUTOMATED_VIDEO_READABILITY_INDEX;DIFFICULT_WORDS_AMOUNT;score
53.0;4.8;5415;152.0;0.993690851735;1500.0;63.0;34.0;171.90276666;0.468058968059;83.76;381.0;1.77777777778;1677.7215;37.4579552334;5.5;814.0;10.0;0.253071253071;188.748516948;206.0;72.1408735168;48.7803086907;75.58;40.7384193722;13.0;5.26666666667;155.263822267;13.0;86.0;intermediate
41.0;4.2;5417;105.0;0.988929889299;1500.0;60.0;24.0;187.107070948;0.456647398844;85.18;316.0;1.77777777778;1454.0253;72.5331757924;3.9;692.0;15.2;0.258670520231;195.877754087;179.0;70.1261234604;47.2481896753;56.76;50.2495607048;8.0;4.5;152.901579317;19.4;73.0;easy
12.0;2.7;903;458.0;0.996774193548;1500.0;66.0;47.0;125.791739316;1.83068017366;94.66;1265.0;1.77777777778;1677.7215;14.5798631492;1.3;691.0;5.5;0.415340086831;141.211645752;287.0;253.676470588;81.5042946784;97.98;15.9662268767;53.0;4.98333333333;140.77540107;6.0;37.0;intermediate
61.0;8.8;5258;18.0;1.0;1500.0;45.0;9.0;217.449138279;0.047619047619;67.99;43.0;1.77777777778;1677.7215;10.1462475603;9.5;903.0;8.5;0.264673311185;155.551089547;239.0;7.39318566066;19.42164432;47.25;8.18095845935;6.0;5.8;155.256898874;19.6;104.0;easy
57.0;6.9;5442;99.0;0.997647058824;1500.0;56.0;50.0;181.870408637;0.320973348783;72.76;277.0;1.77777777778;1447.446;67.2808945791;7.2;863.0;23.7;0.261877172654;174.95314963;226.0;39.123372802;43.2886334877;23.7;78.7876209286;5.0;7.06666666667;121.748546409;30.8;112.0;easy
33.0;5.5;5448;99.0;0.996389891697;1500.0;45.0;28.0;179.176435297;0.375748502994;81.83;251.0;1.77777777778;1447.446;39.4509893743;6.3;668.0;13.2;0.275449101796;186.527918687;184.0;54.4527606031;34.5639664951;56.52;62.9934673126;8.0;4.6;144.918103916;15.4;77.0;easy
74.0;6.9;5454;141.0;1.0;1500.0;59.0;42.0;145.213566895;0.388888888889;78.28;420.0;1.77777777778;1664.5629;28.9247199177;8.5;1080.0;5.6;0.239814814815;178.49610005;259.0;58.1261244637;36.9054015146;92.46;48.6972222;20.0;7.21666666667;149.882363796;10.4;102.0;intermediate
38.0;7.6;5462;10.0;1.0;1500.0;38.0;4.0;86.412025463;0.0286085825748;76.35;22.0;1.77777777778;1677.7215;26.3996776011;8.1;769.0;3.8;0.248374512354;160.474118592;191.0;4.18463099163;46.0849992125;80.99;100.198694614;3.0;5.25;146.271874207;3.9;84.0;intermediate
54.0;2.9;4445;145.0;1.0;1260.0;67.0;72.0;163.831480002;0.569482288828;94.15;418.0;1.33333333333;1677.7215;43.2652827743;2.1;734.0;8.0;0.287465940054;186.53299888;211.0;97.5875486381;93.1577670449;69.92;61.3886414822;23.0;4.28333333333;170.428015564;12.6;58.0;intermediate
72.0;4.7;5472;30.0;0.997402597403;1500.0;78.0;10.0;120.576289838;0.0822467402207;83.86;82.0;1.77777777778;1677.7215;13.5181324849;5.0;997.0;7.7;0.290872617854;162.050329568;290.0;12.7925117005;82.4929040154;76.05;35.6098460849;4.0;6.4;162.24648986;9.3;88.0;intermediate
82.0;5.9;5480;261.0;1.0;1500.0;68.0;167.0;207.193600473;0.713883677298;80.92;761.0;1.77777777778;1664.5629;32.4367729592;6.3;1066.0;14.4;0.291744840525;168.429050845;311.0;110.873682677;68.9918323183;37.23;41.3612701376;30.0;6.85;155.019183138;19.8;85.0;intermediate
57.0;8.8;5266;42.0;1.0;1404.0;39.0;20.0;184.719808736;0.158629441624;67.89;125.0;1.6;1677.7215;11.4819045459;8.7;788.0;11.9;0.232233502538;170.716735873;183.0;27.0582293095;21.3083274276;54.56;15.0373045931;5.0;4.61666666667;170.575077567;17.0;92.0;intermediate
84.0;6.1;885;130.0;1.0;1500.0;65.0;16.0;141.620275968;0.38045540797;80.41;401.0;1.77777777778;0.0;33.7683504743;4.3;1054.0;3.0;0.376660341556;168.60685473;397.0;64.9392712551;80.3259327581;104.57;46.0330129561;23.0;6.16666666667;169.068825911;5.4;55.0;easy
72.0;8.4;898;217.0;0.997382198953;1500.0;68.0;11.0;159.122400848;0.46957311535;63.49;517.0;1.77777777778;1638.0915;23.9585466628;6.7;1101.0;7.0;0.377838328792;174.140022471;416.0;81.3084847055;46.8264369476;83.49;39.4085398336;24.0;6.35;176.299441692;6.2;73.0;intermediate
49.0;7.9;916;802.0;0.996539792388;1500.0;37.0;62.0;129.57302913;2.95607235142;75.64;2288.0;1.77777777778;1638.0915;25.9263842521;5.6;774.0;6.6;0.397932816537;153.178343357;308.0;476.137624861;60.8837009604;95.24;28.6065774982;86.0;4.8;149.833518313;7.2;56.0;easy
63.0;7.3;920;146.0;1.0;1500.0;50.0;19.0;223.661736167;0.470527404343;77.27;455.0;1.77777777778;1638.0915;32.0717181477;5.6;967.0;5.1;0.440537745605;144.252047669;426.0;73.7319721277;87.2523877244;93.68;31.5192997383;23.0;6.16666666667;142.602495544;5.8;72.0;intermediate
55.0;5.3;412;36.0;1.0;1500.0;63.0;20.0;203.813653591;0.105204872647;82.34;95.0;1.77777777778;1677.7215;23.2621601061;5.2;903.0;7.9;0.282392026578;205.520072993;255.0;20.4734025358;28.4347524572;81.16;28.0042061803;4.0;4.63333333333;194.17405984;11.5;83.0;easy
77.0;8.5;933;92.0;1.0;1500.0;55.0;9.0;167.053616463;0.263405456256;68.81;280.0;1.77777777778;1677.7215;32.3268545942;8.0;1063.0;1.4;0.361241768579;154.146959235;384.0;39.6142328279;72.4038840598;103.22;61.0630331236;27.0;7.06666666667;150.534084746;2.1;81.0;easy
64.0;6.2;942;153.0;1.0;1500.0;53.0;9.0;169.405915917;0.544318181818;80.01;479.0;1.77777777778;1677.7215;35.2564014456;4.7;880.0;4.1;0.404545454545;180.570232587;356.0;95.2160084813;64.1693149771;96.42;62.9229861814;28.0;5.01666666667;175.125894514;4.4;56.0;intermediate
65.0;5.7;952;25.0;1.0;1500.0;44.0;8.0;177.477368389;0.10237388724;81.33;69.0;1.77777777778;0.0;28.8707359101;6.2;674.0;4.2;0.445103857567;148.408413485;300.0;15.1960064601;25.8329863231;85.18;48.1154864149;6.0;4.53333333333;148.656584936;2.3;72.0;intermediate
86.0;6.3;967;87.0;1.0;1500.0;70.0;14.0;158.732388827;0.208614864865;79.7;247.0;1.77777777778;0.0;25.7702302845;6.0;1184.0;21.5;0.349662162162;169.771009879;414.0;35.2613671513;68.9291901341;51.05;45.5978268678;4.0;7.0;169.168907183;27.4;75.0;intermediate
63.0;6.0;976;147.0;1.0;1500.0;58.0;23.0;158.327212735;0.421673819742;80.51;393.0;1.77777777778;0.0;26.9819959148;5.3;932.0;4.7;0.394849785408;162.569308247;368.0;68.8447052641;74.7199038362;100.11;45.9178591731;18.0;5.7;162.389419287;6.9;77.0;intermediate
30.0;6.3;980;13.0;1.0;1500.0;39.0;1.0;147.712596902;0.0559757942511;79.7;37.0;1.77777777778;0.0;27.7622922385;7.7;661.0;5.8;0.252647503782;163.398827451;167.0;9.12791414827;75.0465872021;86.54;45.0000113138;2.0;4.05;163.068952757;6.9;69.0;easy
85.0;6.6;937;122.0;1.0;1500.0;68.0;4.0;177.463821605;0.328295549958;79.09;391.0;1.77777777778;1677.7215;37.7153351533;5.1;1191.0;6.8;0.364399664148;176.117550181;434.0;56.4553002045;93.1405755041;100.14;63.7845859394;13.0;6.91666666667;171.531704969;8.5;80.0;intermediate
68.0;6.0;5117;67.0;1.0;1500.0;68.0;31.0;198.835564721;0.248390064397;80.62;270.0;1.77777777778;1664.6138;32.1309343669;6.0;1087.0;6.3;0.245630174793;140.685598272;267.0;34.4131704727;25.8852550146;79.7;34.9532895517;16.0;7.83333333333;137.780138078;9.4;88.0;intermediate
