NOUN_PHRASES_AMOUNT;FLESCH_KINCAID_GRADE;VIDEOID;VIDEO_NOUN_PHRASES;VIDEO_AVERAGE_BRIGHTNESS;VIDEO_SIZE;PHRASES_AMOUNT;VIDEO_DIFFICULT_WORDS;VIDEO_AVERAGE_LIGHT_EXPOSURE;SPEECH_DISPLAY_WORDS_RATIO;FLESCH_READING_EASE;VIDEO_WORDS_COUNT;VIDEO_ASPECT_RATIO;VIDEO_DOMINANT_COLOR;VIDEO_AVERAGE_COLORFULNESS;AUTOMATED_READABILITY_INDEX;WORD_AMOUNT;FLESCH_KINCAID_VIDEO_GRADE;UNCOMMON WORDS RATIO;WORDS_PER_MINUTE;UNCOMMON WORDS AMOUNT;WORDS_PER_MINUTE_WHOLE_VIDEO;VIDEO_AVERAGE_HUE;EASY_VIDEO_READ;VIDEO_AVERAGE_SATURATION;VIDEO_PHRASES_COUNT;VIDEO_DURATION;WORDS_PER_MINUTE_WHOLE;AUTOMATED_VIDEO_READABILITY_INDEX;DIFFICULT_WORDS_AMOUNT;score
135.0;11.8;1592.0;76.0;0.98985801217;1500.0;71.0;78.0;235.87033239269527;0.190305206463;38.62;212.0;1.77777777778;1677.7215;20.816744331574377;12.7;1114.0;24.0;0.337522441652;151.241209105;376.0;26.6957689725;45.66024037137196;17.68;10.97343621268752;4.0;7.93333333333;138.515782404;33.4;239.0;easy
138.0;12.6;1593.0;36.0;0.997555012225;1500.0;54.0;52.0;235.62412317663538;0.145661157025;36.39;141.0;1.77777777778;1677.7215;25.229389623979795;13.3;968.0;22.8;0.308884297521;163.797615175;299.0;21.4063409327;45.30358857138017;15.31;13.346561198270404;3.0;6.58333333333;146.504390071;32.1;199.0;easy
132.0;11.1;1595.0;122.0;0.992248062016;1500.0;52.0;116.0;234.59948000905172;0.351290684624;45.66;313.0;1.77777777778;1677.7215;14.873046933871805;12.1;891.0;27.7;0.3367003367;151.546859196;300.0;48.5446931707;51.90788469590392;7.94;8.99796763845024;5.0;6.43333333333;134.777438867;37.3;197.0;intermediate
134.0;14.3;1597.0;109.0;0.989417989418;1500.0;42.0;77.0;228.97748371566558;0.395781637717;26.61;319.0;1.77777777778;1677.7215;17.43933507358864;16.8;806.0;21.7;0.31017369727;144.507967401;250.0;50.6993006993;60.6868061169084;34.4;11.169501962693516;6.0;6.28333333333;125.874125874;29.7;217.0;intermediate
149.0;12.8;1598.0;185.0;0.992788461538;1500.0;49.0;99.0;230.8697546073721;0.623333333333;35.88;561.0;1.77777777778;1677.7215;17.807581340897023;13.9;900.0;11.4;0.323333333333;147.059628084;291.0;80.9835434511;48.98542617261689;71.82;9.342892994531981;17.0;6.91666666667;129.342700414;16.6;222.0;intermediate
117.0;10.6;1599.0;69.0;0.986175115207;1500.0;61.0;69.0;235.76931935199426;0.2079002079;46.98;200.0;1.77777777778;1677.7215;24.61505803752467;10.8;962.0;16.6;0.352390852391;156.598818122;339.0;27.6720857835;42.84747125149346;20.72;19.275990112256043;8.0;7.21666666667;131.995849187;24.2;158.0;easy
41.0;7.2;5184.0;64.0;0.975510204082;1500.0;32.0;77.0;167.4739818121693;0.405405405405;71.95;210.0;1.77777777778;1605.3492;21.978461420369563;7.6;518.0;8.4;0.361003861004;130.301449349;187.0;51.5590473852;21.016294571995463;52.87;24.331159178949363;21.0;4.06666666667;125.951387184;13.4;82.0;easy
96.0;5.2;5697.0;7.0;1.0;1500.0;102.0;8.0;229.4079255344856;0.0465277777778;82.54;67.0;1.77777777778;1677.7215;35.13455915888879;5.7;1440.0;1.8;0.322916666667;182.831793478;465.0;8.39932303964;34.30180868466326;96.79;26.358419695900665;8.0;7.96666666667;181.776394141;12.7;83.0;easy
65.0;9.1;5698.0;16.0;0.997767857143;1500.0;64.0;24.0;224.54149919136518;0.0549777117385;67.08;74.0;1.77777777778;1677.7215;27.61955269457808;9.2;1346.0;15.3;0.294947994056;184.381877791;397.0;9.93022007515;30.680830551766412;29.48;18.721156709862772;3.0;7.45;184.380032206;23.2;96.0;easy
41.0;4.8;5195.0;19.0;0.984732824427;1500.0;58.0;21.0;179.87045858464495;0.103854389722;88.97;97.0;1.77777777778;1677.7215;6.957241269396772;6.3;934.0;7.9;0.278372591006;146.448582382;260.0;14.8170778278;8.543466818042605;54.08;5.46653113023435;11.0;6.53333333333;141.602382953;12.1;60.0;difficult
