NOUN_PHRASES_AMOUNT;FLESCH_KINCAID_GRADE;VIDEOID;VIDEO_NOUN_PHRASES;VIDEO_AVERAGE_BRIGHTNESS;VIDEO_SIZE;PHRASES_AMOUNT;VIDEO_DIFFICULT_WORDS;VIDEO_AVERAGE_LIGHT_EXPOSURE;SPEECH_DISPLAY_WORDS_RATIO;FLESCH_READING_EASE;VIDEO_WORDS_COUNT;VIDEO_ASPECT_RATIO;VIDEO_DOMINANT_COLOR;VIDEO_AVERAGE_COLORFULNESS;AUTOMATED_READABILITY_INDEX;WORD_AMOUNT;FLESCH_KINCAID_VIDEO_GRADE;UNCOMMON WORDS RATIO;WORDS_PER_MINUTE;UNCOMMON WORDS AMOUNT;WORDS_PER_MINUTE_WHOLE_VIDEO;VIDEO_AVERAGE_HUE;EASY_VIDEO_READ;VIDEO_AVERAGE_SATURATION;VIDEO_PHRASES_COUNT;VIDEO_DURATION;WORDS_PER_MINUTE_WHOLE;AUTOMATED_VIDEO_READABILITY_INDEX;DIFFICULT_WORDS_AMOUNT;score
111.0;9.9;2439;41.0;1.0;1500.0;41.0;31.0;134.820847489;0.116930572473;59.64;96.0;1.77777777778;79.266;65.291903127;11.6;821.0;9.6;0.3215590743;154.152241004;264.0;17.2480910316;95.9904659373;60.45;166.688872342;5.0;5.55;147.327444228;15.7;163.0;difficult
95.0;7.9;2440;71.0;1.0;1500.0;43.0;33.0;123.684967272;0.220982142857;75.74;198.0;1.77777777778;79.266;48.0429360675;9.5;896.0;32.6;0.251116071429;173.145640532;225.0;36.7017825697;99.947665264;-20.9;134.708710824;3.0;5.38333333333;165.714109179;41.9;92.0;difficult
84.0;8.0;2443;32.0;1.0;1500.0;36.0;35.0;136.504353458;0.203703703704;64.71;110.0;1.77777777778;59.6051;62.9896413387;8.9;540.0;9.4;0.375925925926;145.907537652;203.0;26.9850355712;89.441564988;55.54;168.275751165;7.0;4.06666666667;131.981355794;14.6;90.0;intermediate
87.0;5.9;419;56.0;1.0;1500.0;96.0;42.0;211.230495455;0.123476848091;75.4;152.0;1.77777777778;1677.7215;15.4051854526;4.3;1231.0;6.3;0.376116978067;180.343973139;463.0;21.877323866;25.2134855912;74.39;21.0758008223;11.0;6.93333333333;177.465396886;9.4;122.0;difficult
94.0;6.1;421;31.0;1.0;1500.0;109.0;17.0;208.187871879;0.0612359550562;80.31;109.0;1.77777777778;1677.7215;16.5683243082;5.9;1780.0;8.0;0.266853932584;208.742968606;475.0;12.3875366986;35.7019904594;86.07;22.5032230727;4.0;8.78333333333;202.519177952;12.8;98.0;difficult
104.0;5.6;4610;88.0;0.99730820996;1500.0;117.0;73.0;232.93235462;0.158793397837;81.63;279.0;1.77777777778;1664.5629;17.4359204253;6.6;1757.0;4.9;0.268070574843;150.963192647;471.0;23.3063236154;15.6822844257;77.94;14.1846798099;27.0;11.9666666667;143.429955726;13.4;166.0;difficult
91.0;8.7;4704;66.0;1.0;1500.0;48.0;57.0;230.840957899;0.229957805907;68.3;218.0;1.77777777778;1664.5629;20.7737684564;9.5;948.0;10.4;0.292194092827;154.75541998;277.0;32.1257521798;14.8750101308;63.83;15.9473476493;9.0;6.78333333333;139.555446396;14.0;95.0;easy
91.0;5.2;4714;80.0;0.998529411765;1500.0;120.0;59.0;177.10938292;0.162357185809;82.75;270.0;1.77777777778;1664.5629;24.6034498398;5.3;1663.0;6.0;0.269993986771;163.416343933;449.0;24.647030185;46.3466868561;69.79;64.6120303905;27.0;10.95;151.442307692;9.8;131.0;intermediate
68.0;6.7;4721;64.0;0.997663551402;1500.0;67.0;56.0;187.914921032;0.224924012158;73.47;222.0;1.77777777778;1664.5629;27.2556118201;7.4;987.0;8.8;0.266464032421;153.142448881;263.0;31.1280409432;39.9864245396;62.58;57.3692568345;13.0;7.11666666667;138.253371036;13.0;110.0;difficult
83.0;8.4;716;132.0;1.0;1500.0;38.0;55.0;211.369115864;0.627235213205;69.01;456.0;1.77777777778;1677.7215;20.2370165375;9.6;727.0;12.2;0.310866574966;132.34354559;226.0;76.0253417806;20.1925758959;48.33;17.6727555888;20.0;5.98333333333;121.207069023;12.8;110.0;difficult
74.0;6.2;717;262.0;1.0;1500.0;51.0;45.0;226.724077691;0.676923076923;80.01;572.0;1.77777777778;1677.7215;16.2134637023;7.0;845.0;10.7;0.32426035503;142.41213003;274.0;79.4554799278;15.6456148012;57.61;11.8307532972;26.0;7.18333333333;117.37741353;13.9;97.0;difficult
70.0;4.6;719;163.0;1.0;1500.0;61.0;62.0;230.724808496;0.690694626474;84.17;527.0;1.77777777778;1677.7215;16.6255069599;5.3;763.0;10.7;0.366972477064;135.058392893;280.0;75.6206055388;15.3635830779;62.92;10.6985203404;21.0;6.96666666667;109.77184675;15.3;107.0;difficult
73.0;5.9;733;284.0;1.0;1500.0;64.0;61.0;215.328687818;0.828395061728;75.5;671.0;1.77777777778;1677.7215;16.3604659206;4.8;810.0;7.2;0.31975308642;136.132654275;259.0;98.8193711495;19.5491723483;72.16;17.0058551848;42.0;6.78333333333;117.964703861;10.8;95.0;intermediate
52.0;6.7;739;221.0;1.0;1500.0;50.0;66.0;212.392678778;0.846467391304;73.47;623.0;1.77777777778;1677.7215;16.4522090585;6.5;736.0;10.0;0.323369565217;121.067701828;238.0;90.3640671083;20.0076761878;53.92;21.0900975363;36.0;6.88333333333;107.189479283;12.7;100.0;intermediate
41.0;5.0;761;94.0;1.0;1500.0;44.0;40.0;236.954421489;0.446127946128;83.15;265.0;1.77777777778;1677.7215;13.7323812632;5.5;594.0;10.3;0.304713804714;121.893981699;181.0;44.2182546304;10.0995722147;63.93;7.3536368795;11.0;5.98333333333;99.2824962456;14.1;76.0;intermediate
107.0;4.8;778;216.0;0.998790810157;1500.0;112.0;94.0;229.394762484;0.393250688705;83.66;571.0;1.77777777778;1677.7215;17.5284970324;5.1;1452.0;13.1;0.324380165289;127.969046045;471.0;43.1888661977;15.4557957258;40.69;13.5456463894;26.0;13.2166666667;109.068905529;19.6;156.0;easy
10.0;7.1;781;36.0;1.0;1500.0;17.0;32.0;237.201008037;0.654377880184;66.94;142.0;1.77777777778;1677.7215;11.2702608928;6.9;217.0;20.6;0.299539170507;120.644922165;65.0;75.4783841247;9.36000288498;31.93;7.3571873805;3.0;1.86666666667;115.343727853;30.4;44.0;intermediate
